"key","deprecated","description","since"
"ActionButton.separatorColor","","ActionButton separator line color","2023.1"
"Banner.infoBackground","","",""
"Banner.infoBorderColor","","",""
"Banner.successBackground","","",""
"Banner.successBorderColor","","",""
"Banner.warningBackground","","The background of banners (experimental UI only)",""
"Banner.warningBorderColor","","",""
"Banner.errorBackground","","",""
"Banner.errorBorderColor","","",""
"Bookmark.iconBackground","","The background of the default bookmark icon.",""
"Bookmark.Mnemonic.iconForeground","","The text color on the bookmark icon with mnemonic.",""
"Bookmark.Mnemonic.iconBackground",true,"The background of the bookmark icon with mnemonic.",""
"Bookmark.Mnemonic.iconBorderColor",true,"The border color of the bookmark icon with mnemonic.",""
"Bookmark.MnemonicAvailable.foreground","","The button text color for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAvailable.background","","The button background for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAvailable.borderColor","","The button border color for unassigned bookmark mnemonics.",""
"Bookmark.MnemonicAssigned.foreground","","The button text color for already assigned bookmark mnemonics.",""
"Bookmark.MnemonicAssigned.background","","The button background for already assigned bookmark mnemonics.",""
"BookmarkMnemonicAssigned.borderColor",true,"The button border color for already assigned bookmark mnemonics.",""
"Bookmark.MnemonicCurrent.foreground","","The button text color for the currently selected bookmark mnemonic.",""
"Bookmark.MnemonicCurrent.background","","The button background for the currently selected bookmark mnemonic.",""
"BookmarkMnemonicCurrent.borderColor",true,"The button border color for the currently selected bookmark mnemonic.",""
"Breakpoint.iconHoverAlpha","","Transparency for breakpoint icon which pops up while hovering the gutter. A float in [0.0, 1.0]",""
"BigSpinner.background","","A translucent overlay background for decorated panel while loading",""
"Borders.color","","Used in tables, lists, toolbars, tool windows, editor split mode",""
"Borders.ContrastBorderColor","","Used in tool buttons bars and the navigation bar",""
"Button.minimumSize","","Minimum size of buttons",""
"Button.loadingForeground","","The color of button text when in the 'loading' state","2024.2"
"Button.default.loadingForeground","","The color of default button text when in the 'loading' state","2024.2"
"Button.Split.default.separatorColor","","Separator color for default split button",""
"Button.Split.default.iconColor","","Chevron arrow color for default split button",""
"CheckBox.iconSize","","Size of CheckBox icon",""
"ComboBox.minimumSize","","Minimum size of ComboBox",""
"Code.Inline.backgroundColor","","Inline code elements background","2024.1"
"Code.Inline.backgroundOpacity","","Inline code elements background opacity in percents","2024.1"
"Code.Inline.foregroundColor","","Inline code elements foreground","2024.1"
"Code.Inline.borderColor","","Inline code elements border color","2024.1"
"Code.Inline.borderWidth","","Inline code elements border width in pixels","2024.1"
"Code.Inline.borderRadius","","Inline code elements border radius in pixels","2024.1"
"Code.Block.backgroundColor","","Block code elements background","2024.1"
"Code.Block.backgroundOpacity","","Block code elements background opacity in percents","2024.1"
"Code.Block.EditorPane.backgroundColor","","Block code elements background in editor inline QuickDoc","2024.1"
"Code.Block.EditorPane.backgroundOpacity","","Block code elements background opacity in editor inline QuickDoc in percents","2024.1"
"Code.Block.EditorPane.borderColor","","Block code elements background in editor inline QuickDoc","2024.1"
"Code.Block.foregroundColor","","Block code elements foreground","2024.1"
"Code.Block.borderColor","","Block code elements border color","2024.1"
"Code.Block.borderWidth","","Block code elements border width in pixels","2024.1"
"Code.Block.borderRadius","","Block code elements border radius in pixels","2024.1"
"CombinedDiff.mainToolbarInsets","","Main toolbar insets of the Combined (All in One) Diff","2023.3"
"CombinedDiff.fileToolbarInsets","","File toolbar insets of the Combined (All in One) Diff","2023.3"
"CombinedDiff.gapBetweenBlocks","","Vertical gap between the Combined (All in One) Diff blocks","2023.3"
"CombinedDiff.leftRightBlockInset","","Horizontal insets around the Combined (All in One) Diff blocks","2023.3"
"CombinedDiff.BlockBorder.selectedActiveColor","","Active border color around current (selected) Combined (All in One) Diff block","2023.3"
"CombinedDiff.BlockBorder.selectedInactiveColor","","Inactive border color around current (selected) Combined (All in One) Diff block","2023.3"
"ComboPopup.border","","Combo box drop-down menu. Format: ""top, left, bottom, right, hex"", e.g. '1,1,1,1,FFFFFF'. Size in pixels",""
"CompletionPopup.Advertiser.background","","CompletionPopup advertiser background (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.foreground","","CompletionPopup advertiser foreground (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.fontSizeOffset","","CompletionPopup advertiser font size offset (experimental UI only)","2022.2"
"CompletionPopup.Advertiser.borderInsets","","CompletionPopup advertiser border insets (experimental UI only)","2022.2"
"CompletionPopup.background",true,"Uses Documentation popup color from editor color scheme instead",""
"CompletionPopup.Body.insets","","Insets around body  (experimental UI only). If bottom panel with advertiser is visible then BodyWithAdvertiser.insets is used instead","2022.2"
"CompletionPopup.BodyWithAdvertiser.insets","","Insets around body  (experimental UI only). Used only when the advertiser (bottom panel) is visible","2024.2"
"CompletionPopup.infoForeground",true,"Uses Label.infoForeground instead",""
"CompletionPopup.matchForeground","","The string in the completion suggestions list that matches the entered string ","2019.2"
"CompletionPopup.matchSelectionForeground",true,"The string in the completion suggestions list that matches the entered string when selected",""
"CompletionPopup.nonFocusedState",true,"Show completion popup as grayed-out until focused. Boolean. Default is ""true""",""
"CompletionPopup.foreground","","Gray text at the right border. Completion suggestions foreground is Label.foreground.","2019.2"
"CompletionPopup.nonFocusedMask","","Color mask with alpha to draw over not focused completion list","2019.2"
"CompletionPopup.selectionBackground","","Selected item background color of focused completion popup","2019.2"
"CompletionPopup.selectionForeground",true,"Not used, selection foreground doesn't change",""
"CompletionPopup.selectionInactiveBackground","","Selected item background color of non focused completion popup","2019.2"
"CompletionPopup.selectionInfoForeground",true,"Not used, selection foreground doesn't change",""
"CompletionPopup.selectionInnerInsets","","Inner insets in selection line (experimental UI only)","2022.2"
"DisclosureButton.arc","","Arc of disclosure button","2024.2"
"DisclosureButton.defaultBackground","","Background of disclosure button","2024.2"
"DisclosureButton.hoverOverlay","","Hover overlay color, which is painted over background for hover state","2024.2"
"DisclosureButton.pressedOverlay","","Pressed overlay color, which is painted over background for hover state","2024.2"
"DisclosureButton.textRightIconGap","","Gap between text and right icon","2024.2"
"FindPopup.scopesPanelInsets","","Inner insets of the scope selection panel in the Find in Files / Replace in Files popups","2023.1.1"
"FindPopup.bottomPanelInsets","","Inner insets of the bottom panel in the Find in Files / Replace in Files popups","2023.1.1"
"PresentationAssistant.Bright.Popup.foreground","","Presentation Assistant popup bright foreground (experimental UI only)","2023.3"
"PresentationAssistant.Bright.PopupBackground","","Presentation Assistant popup bright background (experimental UI only). PopupBackground name is used to not apply the '*.background' pattern default color","2023.3"
"PresentationAssistant.Bright.Popup.border","","Presentation Assistant popup bright border (experimental UI only)","2023.3"
"PresentationAssistant.Bright.keymapLabel","","Presentation Assistant keymap label bright text color (experimental UI only)","2023.3"
"PresentationAssistant.Pale.Popup.foreground","","Presentation Assistant popup pale foreground (experimental UI only)","2023.3"
"PresentationAssistant.Pale.PopupBackground","","Presentation Assistant popup pale background (experimental UI only)","2023.3"
"PresentationAssistant.Pale.Popup.border","","Presentation Assistant popup pale border (experimental UI only)","2023.3"
"PresentationAssistant.Pale.keymapLabel","","Presentation Assistant keymap label pale text color (experimental UI only)","2023.3"
"ContextHelp.fontSizeOffset",true,"Font size offset for comments (usually gray description text under components), used only in legacy UI","2022.1"
"Counter.background","","An oval with a number on the right of a tree item. For example, the number of updates in Plugins or problems in the Project Structure view.",""
"Counter.foreground","","",""
"DebuggerPopup.borderColor","","A breakpoint popup that opens on right-click",""
"DebuggerTabs.fontSizeOffset","","Debugger tool window tab font size offset","2024.1"
"DebuggerTabs.selectedBackground",true,"Background of the selected tab in the Debugger tool window. The foreground is EditorTabs.underlinedTabForeground.",""
"DebuggerTabs.tabHeight","","Debugger tab height","2023.1"
"DebuggerTabs.underlineHeight","","","2019.2"
"DebuggerTabs.underlinedTabBackground","","Background for the selected tab","2019.2"
"Debugger.Variables.collectingDataForeground","","","2019.2"
"Debugger.Variables.evaluatingExpressionForeground","","","2019.2"
"Debugger.Variables.modifyingValueForeground","","","2019.2"
"Debugger.Variables.changedValueForeground","","","2019.2"
"Debugger.Variables.exceptionForeground","","","2019.2"
"Debugger.Variables.valueForeground","","","2019.2"
"Debugger.Variables.errorMessageForeground","","","2019.2"
"Debugger.Variables.typeForeground","","Value type text color","2022.2"
"Debugger.EvaluateExpression.background","","Background color of the evaluate expression field embedded into the variables view","2022.2"
"DefaultTabs.background","","Default tabs are applied to all tabs except TabbedPane and unless particular tab keys, e.g. EditorTabs, are set. This key is the background under all tabs.","2019.2"
"DefaultTabs.borderColor","","Default tabs are applied to all tabs except TabbedPane and unless particular tab keys, e.g. EditorTabs, are set. This key is the border color for all tabs.","2019.2"
"DefaultTabs.hoverColor",true,"","2019.2"
"DefaultTabs.hoverBackground","","Transparent background on hover over tabs, both regular and with file color.","2019.2"
"DefaultTabs.inactiveMaskColor",true,"","2019.2"
"DefaultTabs.inactiveUnderlineColor","","Underline color when the tab is not in focus","2019.2"
"DefaultTabs.underlineColor","","The line under the selected tab","2019.2"
"DefaultTabs.underlineHeight","","The line under the selected tab","2019.2"
"DefaultTabs.underlinedTabBackground","","Background for the selected tab","2019.2"
"DefaultTabs.underlinedTabForeground","","Foreground for the selected tab","2019.2"
"Editor.background","","Empty editor area",""
"Editor.foreground","","",""
"Editor.shortcutForeground","","",""
"Editor.Notification.borderInsets","","Editor notification banner insets with a status icon","2023.2"
"Editor.Notification.WithoutStatus.borderInsets","","Editor notification banner insets without a status icon","2024.1"
"Editor.SearchField.borderInsets","","Additional insets around editor search/replace fields in Experimental UI",""
"Editor.SearchField.background","","Editor inplace search/replace fields background color",""
"Editor.ReplaceToolbar.borderInsets","","Insets around editor replace panel","2023.3.1"
"Editor.SearchReplaceModePanel.borderInsets","","Insets around the button that toggles search/replace mode in the editor","2023.3.1"
"Editor.SearchToolbar.borderInsets","","Insets around editor search panel","2023.3.1"
"Editor.Toolbar.borderColor","","Editor header component border",""
"Editor.Gutter.emptyAnnotationAreaWidth","","Editor gutter annotation area width when the annotations are hidden","2024.1"
"Editor.Gutter.gapAfterVcsMarkersWidth","","Editor gutter gap width after the VCS annotation markers","2024.1"
"Editor.Gutter.gapAfterLineNumbersWidth","","Editor gutter gap width after the line numbers","2024.1"
"Editor.Gutter.gapAfterIconsWidth","","Editor gutter gap width after the icons","2024.1"
"EditorTabs.background","","Background under all tabs in the editor. If value isn't specified the value of DefaultTabs.background will be used","2019.2"
"EditorTabs.borderColor","","The editor tabs border color. If value isn't specified the value of DefaultTabs.borderColor will be used","2019.2"
"EditorTabs.fontSizeOffset","","The editor tabs font size offset","2024.1"
"EditorTabs.hoverColor",true,"",""
"EditorTabs.hoverBackground","","Transparent overlay on editor tab hover. If value isn't specified the value of DefaultTabs.hoverBackground will be used","2019.2"
"EditorTabs.hoverInactiveBackground","","Transparent overlay on editor tab hover when editor is not focused. If value isn't specified the value of DefaultTabs.hoverBackground will be used","2022.1"
"EditorTabs.hoverSelectedBackground","","Transparent overlay on selected editor tab. If value isn't specified the #00000000 will be used","2022.1"
"EditorTabs.hoverSelectedInactiveBackground","","Transparent overlay on selected editor tab when editor is not focused. If value isn't specified the #00000000 will be used","2022.1"
"EditorTabs.inactiveColoredFileBackground","","Masks inactive tabs with file color. Does not affect tabs without file color.","2019.2"
"EditorTabs.inactiveUnderlineColor","","Selected tab underline color when the tab is not in focus. If value isn't specified the value of DefaultTabs.inactiveUnderlineColor will be used","2019.2"
"EditorTabs.selectedBackground",true,"Background for all tabs in 2019.1",""
"EditorTabs.underlinedTabForeground","","Foreground of the selected tab when a file status color is not used. Inactive tabs use Label.foreground.","2019.2"
"EditorTabs.underlineColor","","The line under the selected tab. If value isn't specified the value of DefaultTabs.underlineColor will be used","2019.2"
"EditorTabs.underlineHeight","","The line under the selected tab. If value isn't specified the value of DefaultTabs.underlineHeight will be used","2019.2"
"EditorTabs.underlinedTabBackground","","Background for the selected tab. If value isn't specified the value of DefaultTabs.underlinedTabBackground will be used","2019.2"
"EditorTabs.tabContentActionsLeftInsets","","Editor tab label insets when the tab actions buttons are on the left","2024.1"
"EditorTabs.tabContentActionsRightInsets","","Editor tab label insets when the tab actions buttons are on the right","2024.1"
"EditorTabs.tabContentActionsNoneInsets","","Editor tab label insets when there are no action buttons","2024.1"
"EditorTabs.tabInsets","","Inner insets around each editor tab",""
"EditorTabs.verticalTabInsets","","Inner insets around each editor tab when tabs placed left or right","2023.1"
"EditorTabs.unselectedAlpha","","The alpha coefficient (0..1) that is used to paint file icon if the tab is not selected and not hovered","2023.1"
"EditorTabs.unselectedBlend","","The blending coefficient (0..1) that is used to edit the foreground of the tab label if the tab is not selected and not hovered","2023.1"
"EditorPane.splitBorder","","Separator color for editor split mode","2022.2"
"FileColor.Blue","","Settings | Appearance & Behavior | File colors",""
"FileColor.Green","","",""
"FileColor.Orange","","",""
"FileColor.Rose","","",""
"FileColor.Violet","","",""
"FileColor.Yellow","","",""
"FileColor.Gray","","",""
"FlameGraph.frameForeground",true,"Java profiler flame graph",""
"FlameGraph.JVMBackground",true,"",""
"FlameGraph.JVMFocusBackground",true,"",""
"FlameGraph.JVMFocusedFrameForeground",true,"",""
"FlameGraph.JVMFocusSearchNotMatchedBackground",true,"",""
"FlameGraph.JVMFrameForeground",true,"",""
"FlameGraph.JVMSearchNotMatchedBackground",true,"",""
"FlameGraph.nativeBackground",true,"",""
"FlameGraph.nativeFocusBackground",true,"",""
"FlameGraph.nativeFocusedFrameForeground",true,"",""
"FlameGraph.nativeFocusSearchNotMatchedBackground",true,"",""
"FlameGraph.nativeFrameForeground",true,"",""
"FlameGraph.nativeSearchNotMatchedBackground",true,"",""
"FlameGraph.parentBackground",true,"",""
"FlameGraph.parentFocusBackground",true,"",""
"FlameGraph.parentFocusedFrameForeground",true,"",""
"FlameGraph.parentFocusSearchNotMatchedBackground",true,"",""
"FlameGraph.parentFrameForeground",true,"",""
"FlameGraph.parentSearchNotMatchedBackground",true,"",""
"GotItTooltip.foreground","","GotIt tooltip foreground color if different from ToolTip.foreground",""
"GotItTooltip.background","","GotIt tooltip background color if different from ToolTip.background",""
"GotItTooltip.shortcutForeground","","GotIt tooltip shortcuts foreground color if different from ToolTip.shortcutForeground",""
"GotItTooltip.shortcutBackground","","GotIt tooltip shortcuts rounded background color if different from GotItTooltip.background",""
"GotItTooltip.borderColor","","GotIt tooltip border color if different from ToolTip.borderColor",""
"GotItTooltip.linkForeground","","GotIt tooltip link foreground color if different from Link.activeForeground",""
"GotItTooltip.codeForeground","","GotIt tooltip inline code element foreground color if different from GotItTooltip.foreground","2023.1.1"
"GotItTooltip.codeBackground","","GotIt tooltip inline code element background color if different from GotItTooltip.background","2023.1.1"
"GotItTooltip.codeBorderColor","","GotIt tooltip inline code element border color if different from GotItTooltip.shortcutBackground","2023.1.1"
"GotItTooltip.stepForeground","","GotIt tooltip step number foreground color if different from GotItTooltip.foreground","2023.1"
"GotItTooltip.imageBorderColor","","GotIt tooltip image rounded border color if different from GotItTooltip.background","2023.2.1"
"GotItTooltip.animationBackground","","GotIt tooltip animation background color if different from GotItTooltip.background","2023.2.1"
"GotItTooltip.Header.foreground","","GotIt tooltip header foreground color if different from GotItTooltip.foreground","2022.3.1"
"GotItTooltip.Button.foreground","","GotIt tooltip button foreground color if different from Button.foreground","2022.3.1"
"GotItTooltip.Button.startBackground","","GotIt tooltip button background gradient start color if different from Button.startBackground","2022.3.1"
"GotItTooltip.Button.endBackground","","GotIt tooltip button background gradient end color if different from Button.endBackground","2022.3.1"
"GotItTooltip.Button.startBorderColor","","GotIt tooltip button outline gradient start color if different from Button.startBorderColor","2022.3.1"
"GotItTooltip.Button.endBorderColor","","GotIt tooltip button outline gradient end color if different from Button.endBorderColor","2022.3.1"
"GotItTooltip.startBackground",true,"Use GotItTooltip.Button.startBackground",""
"GotItTooltip.endBackground",true,"Use GotItTooltip.Button.endBackground",""
"GotItTooltip.startBorderColor",true,"Use GotItTooltip.Button.startBorderColor",""
"GotItTooltip.endBorderColor",true,"Use GotItTooltip.Button.endBorderColor",""
"GotItTooltip.insets","","GotIt tooltip content insets","2023.1"
"GotItTooltip.textInset","","GotIt tooltip inset between header and description, and description and link","2023.1"
"GotItTooltip.buttonTopInset","","GotIt tooltip inset between description and button","2023.1"
"GotItTooltip.buttonBottomInset","","GotIt tooltip additional bottom inset if there is a button","2023.1"
"GotItTooltip.iconInset","","GotIt tooltip inset between step number/icon and header/description","2023.1"
"GotItTooltip.imageTopInset","","GotIt tooltip additional top inset if there is an image","2023.1"
"GotItTooltip.imageBottomInset","","GotIt tooltip inset between image and header/description","2023.1"
"GotItTooltip.arc","","GotIt tooltip radius of the rounded corners","2023.1"
"Group.disabledSeparatorColor","","",""
"Group.separatorColor","","Titled separator line color",""
"GutterTooltip.infoForeground","","Gray info text in a tooltip for overrides/implements icons",""
"GutterTooltip.lineSeparatorColor","","Separator line between lines of text",""
"HeaderColor.active",true,"",""
"HeaderColor.inactive",true,"",""
"HelpTooltip.background",true,"Use ToolTip.background instead",""
"HelpTooltip.borderColor",false,"Use ToolTip.borderColor instead",""
"HelpTooltip.foreground",true,"Use ToolTip.foreground instead",""
"HelpTooltip.shortcutForeground",true,"Use ToolTip.shortcutForeground instead",""
"HelpTooltip.infoForeground",true,"Use ToolTip.infoForeground instead",""
"IconBadge.borderWidth","","Badge border width, assuming that it is for a 20x20 icon","2022.1"
"IconBadge.dotRadius","","Badge radius, assuming that it is for a 20x20 icon","2022.1"
"IconBadge.dotX","","Badge X-position, assuming that it is for a 20x20 icon","2022.1"
"IconBadge.dotY","","Badge Y-position, assuming that it is for a 20x20 icon","2022.1"
"IconBadge.errorBackground","","Badge color indicating the error status","2022.1"
"IconBadge.warningBackground","","Badge color indicating the warning status","2022.1"
"IconBadge.infoBackground","","Badge color indicating the info status","2022.1"
"IconBadge.successBackground","","Badge color indicating the success status","2022.1"
"InformationHint.borderColor","","",""
"InplaceRefactoringPopup.borderColor","","A popup in the editor with refactoring options",""
"Label.disabledText","","",""
"Label.errorForeground","","Red text color for inline error messages. See the ""Validation Dialog Test"" action in internal mode (press Enter for validation in the dialog)",""
"Label.infoForeground","","Gray info text appearing under UI controls. See the ""Show Standard Panels"" action in internal mode",""
"Link.secondaryForeground","","Light-colored links. Used in the Variables tab of the Debugger tool window. Can be seen when a tree line is long, does not fit into the tab's width, and its popup on hover goes beyond the right monitor side.",""
"MainMenu.transparentSelectionBackground","","Selection background in colorful header mode","2023.2"
"MemoryIndicator.usedBackground","","Memory indicator color for used memory rectangle","2019.2"
"MemoryIndicator.allocatedBackground","","Memory indicator color for allocated memory rectangle","2019.2"
"Menu.borderInsets","","Border insets of main menu borders","2022.3"
"Menu.Selection.innerInsets","","Inner insets in selection line. In experimental UI top and bottom values are ignored, row height is used","2022.3"
"Menu.Selection.outerInsets","","Outer insets for menu item","2022.3"
"Menu.Selection.arc","","Selection border corners radius in selection","2022.3"
"NavBar.borderColor","","Border above the navbar, visible when the toolbar is on",""
"NavBar.Breadcrumbs.itemInsets","","Navigation bar insets when displayed in the top location","2023.1"
"NewUiOnboarding.Dialog.background","","Background of the dialog with proposal to start the onboarding to the New UI","2023.2.1"
"Notification.background","","Notification that appears in in bottom-right corner. Use the ""Add Test Notification"" action in internal mode to show notifications on demand.",""
"Notification.borderColor","","Color of the border around notification balloon",""
"Notification.errorBackground","","Exception notifications. Use the ""Drop an error"" action in internal mode to show notifications on demand.",""
"Notification.errorBorderColor","","Color of the border around exception notification balloon",""
"Notification.errorForeground","","Color of the text in exception notification balloon",""
"Notification.foreground","","Color of the text in notification balloon",""
"Notification.linkForeground","","Color of link actions in the notification.",""
"Notification.arc","","Notification border corners radius",""
"Notification.borderInsets","","Top/Left/Bottom/Right insets of the notification",""
"Notification.iconOffsetSize","","Width/HorizontalOffset: Width for icon component, HorizontalOffset horizontal X for start icon",""
"Notification.titleContentInset","","",""
"Notification.contentActionsInset","","",""
"Notification.titleActionsInset","","",""
"Notification.MoreButton.background","","The ""# more"" area in a notification. Appears when there are several notifications of the same type",""
"Notification.MoreButton.foreground","","",""
"Notification.MoreButton.innerBorderColor","","",""
"Notification.Button.foreground","","",""
"Notification.Button.background","","",""
"Notification.Button.borderColor","","",""
"Notification.ToolWindow.errorBackground","","Tool window balloon. Use the ""Add Test Notification"" action in internal mode to show notifications on demand.",""
"Notification.ToolWindow.errorBorderColor","","",""
"Notification.ToolWindow.errorForeground","","",""
"Notification.ToolWindow.informativeBackground","","",""
"Notification.ToolWindow.informativeBorderColor","","",""
"Notification.ToolWindow.informativeForeground","","",""
"Notification.ToolWindow.warningBackground","","",""
"Notification.ToolWindow.warningBorderColor","","",""
"Notification.ToolWindow.warningForeground","","",""
"NotificationsToolwindow.newNotification.background","","",""
"NotificationsToolwindow.newNotification.hoverBackground","","",""
"NotificationsToolwindow.Notification.hoverBackground","","",""
"OnePixelDivider.background","","One pixel divider color",""
"Panel.mouseShortcutBackground","","Background of mouse shortcut panel",""
"ParameterInfo.background","","Parameter info tooltip",""
"ParameterInfo.borderColor","","",""
"ParameterInfo.currentOverloadBackground","","Selection background",""
