"key","deprecated","description","since"
"ParameterInfo.currentParameterForeground","","",""
"ParameterInfo.disabledForeground","","",""
"ParameterInfo.foreground","","",""
"ParameterInfo.infoForeground","","Context help text at the bottom of a tooltip",""
"ParameterInfo.lineSeparatorColor","","Separator lines between text lines",""
"Plugins.background","","The Settings | Plugins dialog",""
"Plugins.Button.installBackground","","Install button in the Plugins | Marketplace tab",""
"Plugins.Button.installBorderColor","","",""
"Plugins.Button.installFillBackground","","Install button in a plugin's page (click any plugin name)",""
"Plugins.Button.installFillForeground","","",""
"Plugins.Button.installFocusedBackground","","Not used in custom themes. Works only in Windows theme: changes ""Install"" button background on hover/focus.",""
"Plugins.Button.installForeground","","",""
"Plugins.Button.updateBackground","","Update button in the Plugins | Updates tab",""
"Plugins.Button.updateBorderColor","","",""
"Plugins.Button.updateForeground","","",""
"Plugins.disabledForeground","","",""
"Plugins.eapTagBackground","","",""
"Plugins.lightSelectionBackground","","Selection background",""
"Plugins.hoverBackground","","A background of a hovered plugin row.",""
"Plugins.borderColor","","Use it to set the border for the search field and the border between the left and right sides.",""
"Plugins.SearchField.background","","",""
"Plugins.SectionHeader.background","","Section dividers, e.g. ""Featured"" or ""New and Updated"" in the Plugins | Marketplace tab",""
"Plugins.SectionHeader.foreground","","",""
"Plugins.Tab.hoverBackground","","Tabs at the top",""
"Plugins.Tab.selectedBackground","","",""
"Plugins.Tab.selectedForeground","","",""
"Plugins.tagBackground","","Plugin categories tags, e.g. ""Code tools"" or ""Languages"" under a plugin name",""
"Plugins.tagForeground","","",""
"Plugins.ScreenshotPagination.CurrentImage.fillColor","","",""
"Plugins.suggestedLabelBackground","","",""
"ProgressIcon.color","","Color of the spinning icon","2022.1"
"ComplexPopup.innerBorderInsets","","Complex popup (like Show Usages) header inner insets","2023.1.1"
"ComplexPopup.Header.background","","Complex popup (like Find in Files) header background (experimental UI only)","2022.1"
"ComplexPopup.Header.insets","","Complex popup header insets (experimental UI only)","2022.1"
"ComplexPopup.TextField.borderInsets","","Text fields (like search, replace) border insets (experimental UI only)","2022.1"
"ComplexPopup.TextField.inputInsets","","Text fields input insets (experimental UI only)","2022.1"
"Popup.Advertiser.background","","The hint text area at the bottom of a popup",""
"Popup.Advertiser.borderColor","","The top border",""
"Popup.Advertiser.borderInsets","","Insets between text and borders. Format: ""top, left, bottom, right"" in pixels, e.g. ""3,8,5,0""",""
"Popup.Advertiser.foreground","","",""
"Popup.Body.bottomInsetNoAd","","Popup body bottom inset if there is no advertiser (experimental UI only)","2022.1"
"Popup.Body.bottomInsetBeforeAd","","Popup body bottom inset before advertiser (experimental UI only)","2022.1"
"Popup.Body.topInsetNoHeader","","Popup body top inset if there is no header (experimental UI only)","2022.1"
"Popup.Header.activeForeground","","Text color in popup header when focused","2022.1"
"Popup.Header.inactiveForeground","","Text color in popup header when not focused","2022.1"
"Popup.Header.insets","","Header insets (experimental UI only), default value is ""12,10,10,10""","2022.1"
"Popup.SearchField.borderInsets","","Search field border insets (experimental UI only)","2022.1"
"Popup.SearchField.inputInsets","","Search field input insets (experimental UI only)","2022.1"
"Popup.background","","Popup background (experimental UI only)","2022.1"
"Popup.borderWidth","","Popup border width","2022.1"
"Popup.innerBorderColor","","",""
"Popup.paintBorder","","On Mac, the popup border is not visible by default. Set to true to make it visible",""
"Popup.Selection.arc","","Selection border corners radius in selection (experimental UI only)","2022.2"
"Popup.Selection.innerInsets","","Inner insets in selection line (experimental UI only). Top and bottom values are ignored","2022.2"
"Popup.Selection.leftRightInset","","Left and right inset in selection line (experimental UI only)","2022.2"
"Popup.separatorColor","","Separator line in lists and the vertical separator line in the Switcher and Recent Files popups",""
"Popup.separatorForeground","","Text over the separator line in lists",""
"Popup.separatorInsets","","Insets around separator line (experimental UI only)",""
"Popup.separatorLabelInsets","","Insets around separator label (experimental UI only)",""
"PopupMenu.Selection.innerInsets","","Inner insets in selection line. In experimental UI top and bottom values are ignored, row height is used","2022.3"
"PopupMenu.Selection.outerInsets","","Outer insets for menu item","2022.3"
"PopupMenu.Selection.arc","","Selection border corners radius in selection",""
"ProgressBar.failedColor","","Use the ""Test Progress Indicators"" action in internal mode to preview progress bars",""
"ProgressBar.failedEndColor","","The lighter part in an indeterminate progress bar",""
"ProgressBar.passedColor","","",""
"ProgressBar.passedEndColor","","",""
"ProgressBar.warningColor","","",""
"ProgressBar.warningEndColor","","",""
"RadioButton.iconSize","","Size of RadioButton icon",""
"SearchEverywhere.Advertiser.background","","The hint text area at the bottom of a popup",""
"SearchEverywhere.Advertiser.borderInsets","","",""
"SearchEverywhere.Advertiser.foreground","","",""
"SearchEverywhere.Header.background","","Tabs area background",""
"SearchEverywhere.List.separatorColor","","Section header line",""
"SearchEverywhere.List.separatorForeground","","Section header text",""
"SearchEverywhere.List.settingsBackground","","Background of settings in search everywhere results","2022.2"
"SearchEverywhere.SearchField.background","","",""
"SearchEverywhere.SearchField.borderColor","","",""
"SearchEverywhere.SearchField.infoForeground","","Gray text on the right of the search field",""
"SearchEverywhere.Tab.selectedBackground","","",""
"SearchEverywhere.Tab.selectedForeground","","",""
"SearchField.errorBackground","","Inplace search field background of not found entries","2019.1"
"SearchField.errorForeground","","Search field foreground of not found entries","2022.1"
"SearchMatch.endBackground","","The yellow rectangle under the search match text",""
"SearchOption.selectedBackground","","Button background to highlight chosen search option",""
"SearchOption.selectedPressedBackground","","Button background to highlight selected pressed search option (experimental UI only)","2022.3"
"SearchOption.selectedHoveredBackground","","Button background to highlight selected hovered search option (experimental UI only)","2022.3"
"SearchMatch.startBackground","","",""
"Settings.Spotlight.borderColor","","Color of the border around highlighted items when searching in the Settings dialog",""
"Shortcut.backgroundColor","","Shortcut elements background","2024.2"
"Shortcut.backgroundOpacity","","Shortcut elements background opacity in percents","2024.2"
"Shortcut.foregroundColor","","Shortcut elements foreground","2024.2"
"Shortcut.borderColor","","Shortcut elements border color","2024.2"
"Shortcut.borderWidth","","Shortcut elements border width in pixels","2024.2"
"Shortcut.borderRadius","","Shortcut elements border radius in pixels","2024.2"
"SidePanel.background","","Left-side tree background in the Settings and Project Structure dialogs",""
"Slider.buttonColor","","Slider thumb button color","2019.3"
"Slider.buttonBorderColor","","Slider thumb border color","2019.3"
"Slider.trackColor","","Slider track color","2019.3"
"Slider.tickColor","","Slider tick color","2019.3"
"SpeedSearch.background","","A search box that appears on typing in lists, trees, and tables",""
"SpeedSearch.borderColor","","",""
"SpeedSearch.errorForeground","","Non-matching search text",""
"SpeedSearch.foreground","","",""
"Spinner.minimumSize","","Minimum size of spinners",""
"StatusBar.fontSizeOffset","","Status bar font size offset","2024.1"
"StatusBar.Breadcrumbs.navBarInsets","","Navigation bar insets when displayed in the status bar","2023.1"
"StatusBar.Widget.widgetInsets","","Insets around status bar widgets","2023.1"
"StripeToolbar.Button.size","","Tool window stripe button size","2023.1"
"StripeToolbar.Button.iconSize","","Tool window stripe button icon size","2023.1"
"StripeToolbar.Button.iconPadding","","Tool window stripe button icon padding","2023.1"
"List.hoverBackground","","A background of a hovered row in a focused list if hover is allowed.","2020.3"
"List.hoverInactiveBackground","","A background of a hovered row in an unfocused list if hover is allowed.","2020.3"
"List.Button.leftRightInset","","An insets for popup inline actions buttons","2022.3"
"List.Button.separatorColor","","A color for inline buttons separator","2022.3"
"List.Button.separatorInset","","A top an bottom insets for inline buttons separator","2022.3"
"List.Button.hoverBackground","","Hover background for inline buttons in list popups","2022.3"
"List.Line.hoverBackground","","Hover background for list item in list popups (when inline buttons are shown)","2022.3"
"List.Tag.background","","Background for tags in list items","2022.3"
"List.Tag.foreground","","Foreground for tags in list items","2022.3"
"TabbedPane.tabHeight","","TabbedPane tab height","2023.1.1"
"TabbedPane.tabSelectionArc","","Selection border corners radius of TabbedPane underline","2022.2"
"TextField.minimumSize","","Minimum size of text fields",""
"Tree.hoverBackground","","A background of a hovered row in a focused tree if hover is allowed.","2020.3"
"Tree.hoverInactiveBackground","","A background of a hovered row in an unfocused tree if hover is allowed.","2020.3"
"Tree.forceFocusedSelectionForeground","","Does it need to use Tree.selectionForeground instead of custom element foreground","2023.2"
"Tree.Selection.arc","","Selection border corners radius in tree selection","2023"
"Table.hoverBackground","","A background of a hovered row in a focused table if hover is allowed.","2020.3"
"Table.hoverInactiveBackground","","A background of a hovered row in an unfocused table if hover is allowed.","2020.3"
"Table.lightSelectionBackground","","A lighter selection. See Settings | GitHub and the GitHub Pull Requests tool window",""
"Table.lightSelectionForeground","","",""
"Table.lightSelectionInactiveBackground","","",""
"Table.lightSelectionInactiveForeground","","",""
"Table.alternativeRowBackground","","Contrast background color for lists with tall rows, e.g. View | Tool Windows | Endpoints",""
"Table.stripeColor","","",""
"TableHeader.cellBorder","","Insets between a header label and borders. Format: ""top, left, bottom, right"" in pixels, e.g. ""3,0,3,0""",""
"TitlePane.background","","Borderless mode. Window header background","2019.3"
"TitlePane.Button.hoverBackground","","Borderless mode. Window buttons (close, minimize, maximize, restore) hover color","2019.3"
"TitlePane.Button.preferredSize","","Borderless mode. Window buttons (close, minimize, maximize, restore) size","2023.1"
"TitlePane.inactiveBackground","","Borderless mode. Header background when the window is not in focus","2019.3"
"TitlePane.infoForeground","","Borderless mode. Header title foreground","2019.2"
"TitlePane.inactiveInfoForeground","","Borderless mode. Header title foreground when the window is not in focus","2019.2"
"ToggleButton.borderColor","","",""
"ToggleButton.buttonColor","","",""
"ToggleButton.offBackground","","",""
"ToggleButton.offForeground","","",""
"ToggleButton.onBackground","","",""
"ToggleButton.onForeground","","",""
"SegmentedButton.selectedStartBorderColor","","Gradient top color of a selected button border in segmented button","2022.1"
"SegmentedButton.selectedButtonColor","","Color of non-focused selected button in segmented button","2022.1"
"SegmentedButton.focusedSelectedButtonColor","","Color of focused selected button in segmented button","2022.1"
"SegmentedButton.selectedEndBorderColor","","Gradient bottom color of a selected button border in segmented button","2022.1"
"ToolBar.horizontalToolbarInsets","","Default insets for horizontal action toolbars","2022.1"
"ToolBar.separatorColor","","ToolBar separator line color","2023.1"
"ToolBar.verticalToolbarInsets","","Default insets for vertical action toolbars","2022.1"
"ToolTip.infoForeground","","""Inspection Info"" text in inspection error tooltips","2019.2"
"ToolTip.linkForeground","","Link text in foreground color in tooltips","2022.2"
"ToolTip.shortcutForeground","","Shortcut text foreground color in compound tooltips","2019.2"
"ToolTip.borderColor","","Tooltip border color","2019.2"
"ToolTip.paintBorder","","True if tooltip should paint its border, false otherwise","2019.2"
"ToolTip.Actions.background","","Actions in editor tooltips for inspection errors.",""
"ToolTip.Actions.infoForeground","","Action shortcuts",""
"ToolWindow.Button.hoverBackground","","Buttons in a tool window stripe",""
"ToolWindow.Button.selectedBackground","","",""
"ToolWindow.Button.selectedForeground","","",""
"ToolWindow.Header.background","","Active tool window header",""
"ToolWindow.Header.borderColor","","",""
"ToolWindow.Header.fontSizeOffset","","Tool window header font size offset","2024.1"
"ToolWindow.Header.height","","Tool window header height","2023.1"
"ToolWindow.Header.inactiveBackground","","Inactive tool window header",""
"ToolWindow.Header.padding","","","2021.3"
"ToolWindow.HeaderCloseButton.background","","",""
"ToolWindow.HeaderTab.inactiveUnderlineColor","","Selected tab underline color when the tab is not in focus. If value isn't specified the value of DefaultTabs.inactiveUnderlineColor will be used","2019.2"
"ToolWindow.HeaderTab.selectedBackground",true,"",""
"ToolWindow.HeaderTab.selectedInactiveBackground","","",""
"ToolWindow.HeaderTab.hoverBackground","","Tab in a tool window header",""
"ToolWindow.HeaderTab.hoverInactiveBackground","","",""
"ToolWindow.HeaderTab.underlineColor","","The line under the selected tab. If value isn't specified the value of DefaultTabs.underlineColor will be used","2019.2"
"ToolWindow.HeaderTab.underlineHeight","","The line under the selected tab. If value isn't specified the value of DefaultTabs.underlineHeight will be used","2019.2"
"ToolWindow.HeaderTab.underlinedTabBackground","","Background for the selected tab. If value isn't specified the value of DefaultTabs.underlinedTabBackground will be used","2019.2"
"ToolWindow.HeaderTab.underlinedTabInactiveBackground","","","2019.2"
"ToolWindow.HeaderTab.padding","","","2021.3"
"ToolWindow.background","","","2021.3"
"Tooltip.separatorColor","","Used for horizontal separators in editor tooltips (error/warning/documentation)","2019.3"
"UiDesigner.Panel.background","","Android plugin: panels around the preview area",""
"UiDesigner.Preview.background","","Android plugin: the app preview area",""
"ValidationTooltip.errorBackground","","Error description tooltip above a control. See the ""Validation Dialog Test"" action in internal mode (press Enter for validation in the dialog).",""
"ValidationTooltip.errorBorderColor","","",""
"ValidationTooltip.warningBackground","","Warning description tooltip above a control. See the ""Show Standard Panels"" action in internal mode (press Enter for validation in the dialog).",""
"ValidationTooltip.warningBorderColor","","",""
"VersionControl.FileHistory.Commit.selectedBranchBackground","","Background color for the selected branch in ""History Up to Here"" when ""Show All Branches"" option is turned on","2019.1"
"VersionControl.GitLog.headIconColor","","A color for the label-like icon in the HEAD label","2019.1"
"VersionControl.GitLog.localBranchIconColor","","A color for the label-like icon in the local branch label","2019.1"
"VersionControl.GitLog.otherIconColor","","A color for the label-like icon in the reference labels of other kinds","2019.1"
"VersionControl.GitLog.remoteBranchIconColor","","A color for the label-like icon in the remote branch label","2019.1"
"VersionControl.GitLog.tagIconColor","","A color for the label-like icon in the tag label","2019.1"
"VersionControl.HgLog.bookmarkIconColor","","A color for the label-like icon in the bookmark label","2019.1"
"VersionControl.HgLog.branchIconColor","","A color for the label-like icon in the branch label","2019.1"
"VersionControl.HgLog.closedBranchIconColor","","A color for the label-like icon in the closed branch label","2019.1"
"VersionControl.HgLog.headIconColor","","A color for the label-like icon in the head label","2019.1"
"VersionControl.HgLog.localTagIconColor","","A color for the label-like icon in the local tag label","2019.1"
"VersionControl.HgLog.mqTagIconColor","","A color for the label-like icon in the MQ tag label","2019.1"
"VersionControl.HgLog.tagIconColor","","A color for the label-like icon in the tag label","2019.1"
"VersionControl.HgLog.tipIconColor","","A color for the label-like icon in the tip label","2019.1"
"VersionControl.Log.Commit.currentBranchBackground","","Background color for the commits in the current branch in the Version Control | Log tab (""Highlight Current Branch"" setting under the ""eye"" icon)","2019.1"
"VersionControl.Log.Commit.unmatchedForeground","","Text color for the ""unmatched"" commits (such as merge commits or cherry-picked commits) in the Version Control | Log tab (""Highlight Merge commits"" and ""Highlight Not Cherry-Picked Commits"" settings under the ""eye"" icon","2019.1"
"VersionControl.Log.Commit.hoveredBackground","","Background color for the commit under the cursor in the Version Control | Log tab","2020.3"
"VersionControl.Log.Commit.selectionBackground","","Background color for the commit selection in the Version Control | Log tab",""
"VersionControl.Log.Commit.selectionInactiveBackground","","Background color for the commit selection in the unfocused Version Control | Log tab",""
"VersionControl.Log.Commit.selectionForeground","","Foreground color for the commit selection in the Version Control | Log tab","2022.2"
"VersionControl.Log.Commit.selectionInactiveForeground","","Foreground color for the commit selection in the unfocused Version Control | Log tab","2022.2"
"VersionControl.Log.Commit.rowHeight","","Height of row in the Version Control | Log tab (experimental UI only)","2022.2"
"VersionControl.Log.Commit.Reference.foreground","","Foreground color for reference labels in log (experimental UI only)","2023.1"
"VersionControl.Log.Commit.verticalPadding","","Vertical padding that is added to the calculated height of a commit log row","2023.1"
"VersionControl.Log.Graph.saturation","","Saturation of the graph in the Version Control | Log tab (a floating point number between 0 and 1)","2024.2"
"VersionControl.Log.Graph.brightness","","Brightness of the graph in the Version Control | Log tab (a floating point number between 0 and 1)","2024.2"
"VersionControl.RefLabel.backgroundBase","","Reference label background base color","2019.1"
"VersionControl.RefLabel.backgroundBrightness","","Transparency of the reference label background (0 is transparent, 1 is opaque)","2019.1"
"VersionControl.RefLabel.foreground","","Reference label text color","2019.1"
"VersionControl.MarkerPopup.borderColor","","Color of border in the Vcs Marker Popup","2022.2"
"VersionControl.MarkerPopup.borderInsets","","Insets between the icons toolbar and popup borders in the Vcs Marker Popup","2022.2"
"VersionControl.MarkerPopup.Toolbar.background","","Color of toolbar background in the Vcs Marker Popup","2022.3"
"VersionControl.Merge.Status.NoConflicts.foreground","","Color for the status label when all conflicts are resolved","2024.2"
"WelcomeScreen.background","","",""
"WelcomeScreen.borderColor","","",""
"WelcomeScreen.captionBackground","","",""
"WelcomeScreen.captionForeground","","",""
"WelcomeScreen.footerBackground","","",""
"WelcomeScreen.footerForeground","","",""
"WelcomeScreen.groupIconBorderColor","","",""
"WelcomeScreen.headerBackground","","",""
"WelcomeScreen.headerForeground","","",""
"WelcomeScreen.Projects.background","","",""
"WelcomeScreen.Projects.selectionBackground","","",""
"WelcomeScreen.Projects.selectionInactiveBackground","","",""
"WelcomeScreen.separatorColor","","",""
"WelcomeScreen.SidePanel.background","","Tab list and side panel background",""
"WelcomeScreen.Details.background","","Associated panel for selected tab background",""
"WelcomeScreen.Projects.actions.selectionBackground","","Selection background for project actions buttons",""
"WelcomeScreen.Projects.actions.background","","Background for project actions buttons",""
"WelcomeScreen.Projects.actions.selectionBorderColor","","Border color of selected action",""
"WelcomeScreen.LearnTab.CourseCard.hover","","",""
"Window.border","","Dialog border. Format: ""top,left,bottom,right,hex"", e.g. ""1,1,1,1,FFFFFF"". Sizes in pixels",""
"Window.undecorated.border","","Used as window border in case the window has no border, decoration and shadow. Used on Linux in non-fullscreen mode only. Format: ""top,left,bottom,right,hex"", e.g. ""1,1,1,1,FFFFFF"". Sizes in pixels",""
"RunToolbar.Run.activeBackground","","Background of the run toolbar widget when at least one of the run processes is active","2021.3"
"RunToolbar.Debug.activeBackground","","Background of the run toolbar widget when at least one of the debug processes is active","2021.3"
"RunToolbar.Profile.activeBackground","","Background of the run toolbar widget when at least one of the profile processes is active","2021.3"
"DragAndDrop.areaBackground","","Drag & Drop area background",""
"DragAndDrop.areaBorderColor",true,"Use DragAndDrop.borderColor instead",""
"DragAndDrop.areaForeground","","Drag & Drop area foreground",""
"DragAndDrop.borderColor","","Drop position highlighting (line/rectangle) for drag-n-drop in trees and lists","2021.2"
"DragAndDrop.rowBackground","","Drop position highlighting (rectangle) for drag-n-drop in trees and lists","2021.3"
"Label.successForeground","","Foreground for successful state/text","2021.2"
"Lesson.shortcutBackground","","Background under shortcuts in the interactive IDE lessons","2021.2"
"Lesson.stepNumberForeground","","Foreground for task numbers in lessons","2021.2"
"Tooltip.Learning.background","","Background for tooltips used in lessons","2021.2"
"Tooltip.Learning.borderColor","","Border color for tooltips used in lessons","2021.2"
"Tooltip.Learning.codeBorderColor","","Inline code elements border color for tooltips used in lessons","2023.1.1"
"Tooltip.Learning.spanBackground","","Background for buttons and shortcuts used in lesson tooltips","2021.2"
"Tooltip.Learning.spanForeground","","Foreground for buttons and shortcuts used in lesson tooltips","2021.2"
"Tooltip.Learning.foreground","","Foreground for tooltips text used in lessons","2021.2"
"Tooltip.Learning.stepNumberForeground","","Foreground for task numbers in lesson tooltips","2021.2"
"Lesson.Badge.newLessonBackground","","Background for badge near new modules/lessons","2021.2"
"Lesson.Badge.newLessonForeground","","Foreground for badge near new modules/lessons","2021.2"
"TipOfTheDay.Image.borderColor","","Border color of the rounded illustrations in Tips of the Day dialog","2022.3"
"ProblemsView.projectAnalysisButtonBackground","","Background for Project-Wide analysis button when enabled","2021.2"
"Tag.background","","",""
"MainToolbar.separatorColor","","Color of the Main Toolbar separators","2022.3"
"MainToolbar.background","","Background color of the Main Toolbar","2022.3"
"MainToolbar.fontSizeOffset","","Main toolbar widgets font size offset","2024.1"
"MainToolbar.Button.size","","Size of buttons on the Main Toolbar","2023.1"
"MainToolbar.Button.iconSize","","Size of button icons on the Main Toolbar","2023.1"
"MainToolbar.Dropdown.maxWidth","","Max width for Combo Widgets","2023.1"
"MainToolbar.Icon.insets","","Insets around buttons on the Main Toolbar","2023.2"
"RunWidget.configurationSelectorFontSizeOffset","","Run configuration font size offset in the Main Toolbar","2024.1"
"RunWidget.foreground","","Foreground for run widget components","2022.3"
"RunWidget.iconColor","","Color for non-debug/stop icons like More Actions or spinning icon","2023.2"
"RunWidget.runningBackground","","Background for run widget actions in running state","2022.3"
"RunWidget.runningIconColor","","Color for icons like stop/re-run in the running state","2023.2"
"RunWidget.hoverBackground","","Background for hover state in run widget. Will be applied over RunWidget.runningBackground.","2022.3"
"RunWidget.pressedBackground","","Background for pressed state in run widget. Will be applied over RunWidget.runningBackground.","2022.3"
"RunWidget.runIconColor","","Color for icons like debug/run in the non-running state","2023.1"
"RunWidget.stopBackground","","Background for the stop button in the run widget","2023.1"
"RunWidget.toolbarHeight","","The height of the run widget toolbar and its buttons","2023.1"
"RunWidget.actionButtonWidth","","The width of the run widget buttons","2023.1"
"RunWidget.toolbarBorderDirectionalGap","","The horizontal gap between run widget buttons","2024.1"
"RunWidget.toolbarBorderHeight","","The gaps above and below run widget buttons","2023.1"
"MainWindow.Tab.selectedForeground","","",""
"MainWindow.Tab.selectedBackground","","",""
"MainWindow.Tab.selectedInactiveBackground","","",""
"MainWindow.Tab.foreground","","",""
"MainWindow.Tab.background","","",""
"MainWindow.Tab.hoverForeground","","",""
"MainWindow.Tab.hoverBackground","","",""
"MainWindow.Tab.separatorColor","","",""
"MainWindow.Tab.borderColor","","",""
"MainWindow.FullScreeControl.Background","","",""
"LicenseDialog.termsAndConditionsForeground","","","2024.2"
"LicenseDialog.waitingLabelForeground","","","2024.2"
"LicenseDialog.separatorColor","","","2024.2"
"LicenseDialog.LicenseList.licenseDetailsForeground","","","2024.2"
"LicenseDialog.LicenseList.licenseIdForeground","","","2024.2"
"LicenseDialog.LicenseList.separatorColor","","","2024.2"
"LicenseDialog.LicenseServer.separatorColor","","","2024.2"